20190317 19:44:32,112,4*4,human,computer,6 to 10
20190317 19:51:21,3,4*4,human,computer,Human gave up.
20190317 19:55:12,52,6*6,computer,human,Human gave up.
20190317 19:57:14,238,6*6,computer,human,11 to 25
20190317 20:03:20,390,10*10,human,computer,59 to 41
20190317 20:10:21,3,8*8,computer,human,Human gave up.
